id,dialect,dialect_text,dialect_phonetic,mandarin_text,english_translation,domain_context,audio_file_path,speaker_metadata
000001,Cantonese,Simulated Cantonese sentence 1,IPA/Romanized for Cantonese 1,模擬的普通話句子 1,Simulated English translation 1,food,voices/cantonese/000001.wav,"{""age"": 58, ""gender"": ""female"", ""region"": ""Malaysia""}"
000002,Cantonese,Simulated Cantonese sentence 2,IPA/Romanized for Cantonese 2,模擬的普通話句子 2,Simulated English translation 2,food,voices/cantonese/000002.wav,"{""age"": 36, ""gender"": ""male"", ""region"": ""Malaysia""}"
000003,Cantonese,Simulated Cantonese sentence 3,IPA/Romanized for Cantonese 3,模擬的普通話句子 3,Simulated English translation 3,daily_conversation,voices/cantonese/000003.wav,"{""age"": 34, ""gender"": ""male"", ""region"": ""Malaysia""}"
000004,Cantonese,Simulated Cantonese sentence 4,IPA/Romanized for Cantonese 4,模擬的普通話句子 4,Simulated English translation 4,public_services,voices/cantonese/000004.wav,"{""age"": 38, ""gender"": ""male"", ""region"": ""Malaysia""}"
000005,Cantonese,Simulated Cantonese sentence 5,IPA/Romanized for Cantonese 5,模擬的普通話句子 5,Simulated English translation 5,healthcare,voices/cantonese/000005.wav,"{""age"": 46, ""gender"": ""female"", ""region"": ""Singapore""}"
000006,Cantonese,Simulated Cantonese sentence 6,IPA/Romanized for Cantonese 6,模擬的普通話句子 6,Simulated English translation 6,healthcare,voices/cantonese/000006.wav,"{""age"": 23, ""gender"": ""female"", ""region"": ""Malaysia""}"
000007,Cantonese,Simulated Cantonese sentence 7,IPA/Romanized for Cantonese 7,模擬的普通話句子 7,Simulated English translation 7,directions,voices/cantonese/000007.wav,"{""age"": 68, ""gender"": ""female"", ""region"": ""Malaysia""}"
000008,Cantonese,Simulated Cantonese sentence 8,IPA/Romanized for Cantonese 8,模擬的普通話句子 8,Simulated English translation 8,directions,voices/cantonese/000008.wav,"{""age"": 65, ""gender"": ""male"", ""region"": ""Singapore""}"
000009,Cantonese,Simulated Cantonese sentence 9,IPA/Romanized for Cantonese 9,模擬的普通話句子 9,Simulated English translation 9,workplace,voices/cantonese/000009.wav,"{""age"": 63, ""gender"": ""male"", ""region"": ""Singapore""}"
000010,Cantonese,Simulated Cantonese sentence 10,IPA/Romanized for Cantonese 10,模擬的普通話句子 10,Simulated English translation 10,daily_conversation,voices/cantonese/000010.wav,"{""age"": 49, ""gender"": ""male"", ""region"": ""Singapore""}"
